week,forecast_visits,planned_capacity_visits,physicians,nurses,admin_staff,total_staff,physician_capacity_visits,projected_utilization,high_load_flag
2026-09-21,720.0,828.0,11,7,5,23,880.0,0.818,False
2026-09-28,711.3,818.0,11,7,5,23,880.0,0.808,False
2026-10-05,706.8,812.8,11,7,5,23,880.0,0.803,False
2026-10-12,709.3,815.7,11,7,5,23,880.0,0.806,False
2026-10-19,729.8,839.3,11,7,5,23,880.0,0.829,False
2026-10-26,753.7,866.8,11,8,5,24,880.0,0.856,True
2026-11-02,783.3,900.8,12,8,5,25,960.0,0.816,False
2026-11-09,799.2,919.1,12,8,5,25,960.0,0.833,False
2026-11-16,823.3,946.8,12,8,5,25,960.0,0.858,True
2026-11-23,835.0,960.2,13,9,5,27,1040.0,0.803,False
2026-11-30,834.8,960.0,13,9,5,27,1040.0,0.803,False
2026-12-07,828.2,952.4,12,8,5,25,960.0,0.863,True
